Date,Symbol,Price,Percent Change
2025-05-21,AAPL,206.86,
2025-05-22,AAPL,202.09,-2.31
2025-05-23,AAPL,201.36,-0.36
2025-05-24,AAPL,195.27,-3.02
2025-05-25,AAPL,195.27,0.0
2025-05-26,AAPL,195.27,0.0
2025-05-27,AAPL,195.27,0.0
2025-05-28,AAPL,200.21,2.53
2025-06-05,AAPL,202.82,1.3
2025-06-10,AAPL,201.45,-0.68
2025-05-21,BAC,44.69,
2025-05-22,BAC,43.25,-3.22
2025-05-23,BAC,43.31,0.14
2025-05-24,BAC,43.2,-0.25
2025-05-25,BAC,43.2,0.0
2025-05-26,BAC,43.2,0.0
2025-06-04,BAC,43.2,0.0
2025-06-09,BAC,44.97,4.1
2025-06-10,BAC,44.87,-0.22
2025-05-22,GRVY,65.39,
2025-05-23,GRVY,64.16,-1.88
2025-05-24,GRVY,63.36,-1.25
2025-06-02,GRVY,63.36,0.0
2025-06-03,GRVY,63.36,0.0
2025-06-08,GRVY,64.12,1.2
2025-06-09,GRVY,63.05,-1.67
2025-06-10,GRVY,65.27,3.52
2025-05-21,GS,606.52,
2025-05-22,GS,593.46,-2.15
2025-05-31,GS,598.54,0.86
2025-06-01,GS,598.54,0.0
2025-06-02,GS,598.54,0.0
2025-06-07,GS,599.21,0.11
2025-06-08,GS,599.21,0.0
2025-06-09,GS,614.0,2.47
2025-06-10,GS,613.52,-0.08
2025-05-29,IBM,258.63,
2025-05-30,IBM,258.63,0.0
2025-05-31,IBM,258.63,0.0
2025-06-01,IBM,258.63,0.0
2025-06-06,IBM,265.52,2.66
2025-06-07,IBM,265.52,0.0
2025-06-08,IBM,265.52,0.0
2025-05-27,MMM,149.78,
2025-05-28,MMM,149.78,0.0
2025-05-29,MMM,149.78,0.0
2025-05-30,MMM,149.78,0.0
2025-05-31,MMM,149.78,0.0
2025-06-05,MMM,146.81,-1.98
2025-06-06,MMM,146.81,0.0
2025-06-09,MMM,145.5,-0.89
2025-06-10,MMM,144.23,-0.87
2025-05-21,MSFT,458.17,
2025-05-22,MSFT,452.57,-1.22
2025-05-23,MSFT,452.57,0.0
2025-05-24,MSFT,452.57,0.0
2025-05-25,MSFT,450.18,-0.53
2025-05-26,MSFT,450.18,0.0
2025-05-27,MSFT,450.18,0.0
2025-05-28,MSFT,460.69,2.33
2025-05-29,MSFT,460.69,0.0
2025-05-30,MSFT,460.69,0.0
2025-06-04,MSFT,464.27,0.78
2025-06-05,MSFT,463.87,-0.09
2025-06-06,MSFT,463.87,0.0
2025-06-07,MSFT,463.87,0.0
2025-06-08,MSFT,463.87,0.0
2025-06-09,MSFT,470.38,1.4
2025-06-10,MSFT,472.75,0.5
2025-05-21,MU,98.1,
2025-05-22,MU,95.84,-2.3
2025-05-23,MU,94.83,-1.05
2025-05-24,MU,93.37,-1.54
2025-05-25,MU,93.37,0.0
2025-05-26,MU,93.37,0.0
2025-05-27,MU,93.37,0.0
2025-05-28,MU,96.38,3.22
2025-05-29,MU,96.38,0.0
2025-06-03,MU,96.38,0.0
2025-06-04,MU,103.2,7.08
2025-06-05,MU,103.25,0.05
2025-06-06,MU,103.25,0.0
2025-06-07,MU,103.25,0.0
2025-06-08,MU,103.25,0.0
2025-06-09,MU,108.56,5.14
2025-06-10,MU,110.95,2.2
2025-05-21,NFLX,1192.02,
2025-05-22,NFLX,1194.63,0.22
2025-05-23,NFLX,1187.97,-0.56
2025-05-24,NFLX,1185.39,-0.22
2025-05-25,NFLX,1185.39,0.0
2025-05-26,NFLX,1185.39,0.0
2025-05-27,NFLX,1185.39,0.0
2025-05-28,NFLX,1211.57,2.21
2025-05-29,NFLX,1211.57,0.0
2025-05-30,NFLX,1211.57,0.0
2025-05-31,NFLX,1211.57,0.0
2025-06-01,NFLX,1211.57,0.0
2025-06-02,NFLX,1211.57,0.0
2025-06-03,NFLX,1211.57,0.0
2025-06-04,NFLX,1224.89,1.1
2025-06-05,NFLX,1239.66,1.21
2025-06-06,NFLX,1239.66,0.0
2025-06-07,NFLX,1239.66,0.0
2025-06-08,NFLX,1239.66,0.0
2025-06-09,NFLX,1241.47,0.15
2025-06-10,NFLX,1224.46,-1.37
2025-05-21,ORCL,160.31,
2025-05-22,ORCL,157.18,-1.95
2025-05-23,ORCL,157.31,0.08
2025-05-24,ORCL,155.97,-0.85
2025-05-25,ORCL,155.97,0.0
2025-05-26,ORCL,155.97,0.0
2025-05-27,ORCL,155.97,0.0
2025-05-28,ORCL,161.91,3.81
2025-05-29,ORCL,161.91,0.0
2025-05-30,ORCL,161.91,0.0
2025-05-31,ORCL,161.91,0.0
2025-06-01,ORCL,161.91,0.0
2025-06-02,ORCL,161.91,0.0
2025-06-03,ORCL,161.91,0.0
2025-06-04,ORCL,169.87,4.92
2025-06-05,ORCL,168.1,-1.04
2025-06-06,ORCL,168.1,0.0
2025-06-07,ORCL,168.1,0.0
2025-06-08,ORCL,168.1,0.0
2025-06-09,ORCL,174.02,3.52
2025-06-10,ORCL,177.15,1.8
2025-05-21,UHAL,64.27,
2025-05-22,UHAL,61.51,-4.29
2025-05-23,UHAL,61.62,0.18
2025-05-24,UHAL,61.99,0.6
2025-05-25,UHAL,61.99,0.0
2025-05-26,UHAL,61.99,0.0
2025-05-27,UHAL,61.99,0.0
2025-05-28,UHAL,62.84,1.37
2025-05-29,UHAL,62.84,0.0
2025-05-30,UHAL,62.84,0.0
2025-05-31,UHAL,62.84,0.0
2025-06-01,UHAL,62.84,0.0
2025-06-02,UHAL,62.84,0.0
2025-06-03,UHAL,62.84,0.0
2025-06-04,UHAL,63.85,1.61
2025-06-05,UHAL,63.28,-0.89
2025-06-06,UHAL,63.28,0.0
2025-06-07,UHAL,63.28,0.0
2025-06-08,UHAL,63.28,0.0
2025-06-09,UHAL,62.88,-0.63
2025-06-10,UHAL,63.52,1.02
2025-05-21,WDC,50.63,
2025-05-22,WDC,49.49,-2.25
2025-05-23,WDC,49.84,0.71
2025-05-24,WDC,50.18,0.68
2025-05-25,WDC,50.18,0.0
2025-05-26,WDC,50.18,0.0
2025-05-27,WDC,50.18,0.0
2025-05-28,WDC,51.82,3.27
2025-05-29,WDC,51.82,0.0
2025-05-30,WDC,51.82,0.0
2025-05-31,WDC,51.82,0.0
2025-06-01,WDC,51.82,0.0
2025-06-02,WDC,51.82,0.0
2025-06-03,WDC,51.82,0.0
2025-06-04,WDC,54.35,4.88
2025-06-05,WDC,54.43,0.15
2025-06-06,WDC,54.43,0.0
2025-06-07,WDC,54.43,0.0
