Stock Ticker,Google Price,Manual Price,Last Price,Last DPS,Yield on Cost,Last Price Yield,Shares,Cost,Cost (Per Share),Unrealized Gain/Loss,Unrealized Gain/Loss (%),Realized Gain/Loss,Dividends Collected,Total Gain/Loss,Mkt Value
GRVY,$65.27,$0.00,$65.27,$0.00,0.00%,0.00%,6891.1,"$10,000.00",$1.45,"$439,780.07",4397.8%,$0.00,$0.00,"$439,780.07","$449,780.07"
MSFT,$472.75,$0.00,$472.75,$0.00,0.00%,0.00%,373.3,"$10,000.00",$26.79,"$166,456.54",1664.6%,$0.00,$0.00,"$166,456.54","$176,456.54"
NFLX,"$1,224.46",$0.00,"$1,224.46",$0.00,0.00%,0.00%,135.0,"$10,000.00",$74.06,"$155,336.02",1553.4%,$0.00,$0.00,"$155,336.02","$165,336.02"
IBM,$272.08,$0.00,$272.08,$0.00,0.00%,0.00%,0.0,$0.15,$30.67,$1.18,787.0%,"$22,266.20",$0.00,"$22,267.38",$1.33
BAC,$44.87,$0.00,$44.87,$0.00,0.00%,0.00%,1722.8,"$10,000.00",$5.80,"$67,300.57",673.0%,$0.00,$0.00,"$67,300.57","$77,300.57"
GS,$613.52,$0.00,$613.52,$0.00,0.00%,0.00%,4.8,$456.41,$95.44,"$2,477.69",542.9%,"$2,448.46",$0.00,"$4,926.15","$2,934.10"
ORCL,$177.15,$0.00,$177.15,$0.00,0.00%,0.00%,486.2,"$20,007.95",$41.15,"$66,129.61",330.5%,$0.00,$0.00,"$66,129.61","$86,137.56"
UHAL,$63.52,$0.00,$63.52,$0.00,0.00%,0.00%,0.0,$0.39,$14.99,$1.26,323.7%,"$53,357.44",$0.00,"$53,358.70",$1.65
MU,$110.95,,$110.95,,0.00%,0.00%,20.0,$585.35,$29.27,"$1,633.65",279.1%,$0.00,$0.00,"$1,633.65","$2,219.00"
WDC,$57.02,$0.00,$57.02,$0.00,0.00%,0.00%,322.5,"$10,000.00",$31.00,"$8,390.79",83.9%,$0.00,$0.00,"$8,390.79","$18,390.79"
MMM,$144.23,$0.00,$144.23,$0.00,0.00%,0.00%,0.0,$0.00,$0.00,$0.00,0.0%,"$59,427.00",$465.00,"$59,892.00",$0.00
AAPL,$201.45,$0.00,$201.45,$0.00,0.00%,0.00%,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,"$1,822.00","$1,822.00",$0.00
WNC,$9.92,$0.00,$9.92,$0.00,0.00%,0.00%,1541.0,"$20,375.97",$13.22,"-$5,089.25",-25.0%,$0.00,$0.00,"-$5,089.25","$15,286.72"
YHOO,No Data,$13.75,$13.75,$0.00,0.00%,0.00%,-448.0,"-$20,459.43",$45.67,"$14,299.15",-69.9%,"-$21,296.13",$0.00,"-$6,996.98","-$6,160.28"
